n,log_loss
454,0.5600
130,0.5600
122,0.5604
114,0.5595
106,0.5588
97,0.5600
94,0.5609
87,0.5589
81,0.5613
74,0.5618
71,0.5596
65,0.5626
62,0.5655
60,0.5674
58,0.5668
56,0.5660
55,0.5653
53,0.5669
52,0.5663
49,0.5681
48,0.5706
46,0.5709
45,0.5693
42,0.5715
41,0.5715
40,0.5738
