trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
321,False,"{'a': 0.3, 'e': 0.46282790012001074}",25,8,-24.030728192043373,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
322,False,"{'a': 0.3, 'e': 0.4617184450383591}",20,0,-55.76235231728089,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
323,False,"{'a': 0.3, 'e': 0.46061164945622746}",25,0,-38.224104183132916,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
324,False,"{'a': 0.3, 'e': 0.4595075069984701}",20,0,24.90735663090045,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.3, 'e': 0.45840601130522357}",20,0,-86.18109532228327,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
326,False,"{'a': 0.3, 'e': 0.4573071560318695}",20,8,-2.9485189395923688,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
327,False,"{'a': 0.3, 'e': 0.4562109348489986}",20,2,-28.391806029750455,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
328,False,"{'a': 0.3, 'e': 0.45511734144237376}",25,0,-85.15965831661315,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
329,False,"{'a': 0.3, 'e': 0.4540263695128939}",25,0,-49.51840996235121,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
330,False,"{'a': 0.3, 'e': 0.45293801277655776}",20,0,-23.34107001396937,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
331,False,"{'a': 0.3, 'e': 0.4518522649644275}",20,0,7.072505934305586,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
